"Sentiment","Comment"
"neutral","Stepping in to say that there was no AI involved with the analysis of this photo, which was conducted around 2001 by David Rudiak. Mr. Rudiak's interpretation was based on original microfiche images, scanned in at 600-1200 dpi, and the only software used was PaintShop Pro. http://roswellproof.homestead.com/Methods.html"
"neutral","That seems very detailed, presumably this was from a much higher resolution photograph than the one shown here though?"
"neutral","Seems that FOIA request should be a viable way to read something that is 75 years old…"
"negative","I don't understand this image at all. Why would the general be holding that letter next to a foil? The totality of the situation doesn't make sense."
"neutral","Blade Runner tech. I've seen this before."
"positive","I think everyone that has seriously looked into Roswell knows the official story is incredibly bogus"
"neutral","I've always assumed it would only be a matter of time before technology reaches a point where this can be analyzed by a program to finally read it. I don't know if this is what that is or even if this is true, but it would be funny if this whole thing was blown up by this photo."
"negative","Men In Black: “Alright, as you know, an alien space craft was recovered. In it there were aliens. We made the mistake of making this information public, so now we’re going to do a photo shoot of a weather balloon.” Gen. Ramey: I know. I have this extremely top secret Memo that explains all this. I just carry it around with me. Should I hold the memo during the photo? MIB: I don’t see why not. It’s totally normal practice to walk around carrying the most sensitive information out in the open."
"negative","It's amazing how many trolls are a part of this forum. They get on here just to argue with people and act like computer scientists. It's hilarious. Always have something to say and some knowledge that they have somehow obtained through absolutely no means of education."
"neutral","At some point the military claimed weather balloon kites made with foil and balsa I-beams which contained faded lettering. It sounds plausible but if so, what would cause someone to announce a flying saucer had been found. Hard to mistake one for the other."
"positive","If accurate this is pretty amazing"
"neutral","But yet they can’t spell the word disc the same way in the memo"
"neutral","Not proof but it's compelling evidence. Perhaps it's time we pull out the original negatives again and run them into moden AI and see what it can glean. This analysis was done years ago before all this new AI enhancement tech"
"neutral","Wow. This can be totally feasible, and doesn’t use “AI.” There’s many articles warning that improperly pixelating sensitive info in screenshots opens the door to that text being decipherable. Eg, https://www.darkreading.com/vulnerabilities-threats/pixelating-text-leads-to-information-leakage-warns-firm But what I’d like to see is a peer-reviewed paper about the method and results. Where are the scientists when you need them?"
"negative","This is nonsense. There is no way anyone is ever going to be able to pull coherent text from those hi-res images. It will always be based on guesswork and interpretation. Considering the guesswork and interpretation is also done by people that already believe Roswell was about a crashed UFO it's not going to be evidence for anything. This is some fantasy CSI stuff."
"positive","This is the cool content I come here for"
"neutral","Sorry OP this isn't the wording from that Ramey Memo. Highest res photos [here](https://library.uta.edu/roswell/ramey-memo) with a link to a reward of ten grand for the first person to offer a clear reading of the memo."
"neutral","Why do you need a general for a photo shoot?"
